分析項目,93年國中學生完訪樣本數(人),93年國中學生吸菸率(%),93年國中男性學生完訪樣本數(人),93年國中男性學生吸菸率(%),93年國中女性學生完訪樣本數(人),93年國中女性學生吸菸率(%),95年國中學生完訪樣本數(人),95年國中學生吸菸率(%),95年國中男性學生完訪樣本數(人),95年國中男性學生吸菸率(%),95年國中女性學生完訪樣本數(人),95年國中女性學生吸菸率(%),97年國中學生完訪樣本數(人),97年國中學生吸菸率(%),97年國中男性學生完訪樣本數(人),97年國中男性學生吸菸率(%),97年國中女性學生完訪樣本數(人),97年國中女性學生吸菸率(%),99年國中學生完訪樣本數(人),99年國中學生吸菸率(%),99年國中男性學生完訪樣本數(人),99年國中男性學生吸菸率(%),99年國中女性學生完訪樣本數(人),99年國中女性學生吸菸率(%),100年國中學生完訪樣本數(人),100年國中學生吸菸率(%),100年國中男性學生完訪樣本數(人),100年國中男性學生吸菸率(%),100年國中女性學生完訪樣本數(人),100年國中女性學生吸菸率(%),101年國中學生完訪樣本數(人),101年國中學生吸菸率(%),101年國中男性學生完訪樣本數(人),101年國中男性學生吸菸率(%),101年國中女性學生完訪樣本數(人),101年國中女性學生吸菸率(%),102年國中學生完訪樣本數(人),102年國中學生吸菸率(%),102年國中男性學生完訪樣本數(人),102年國中男性學生吸菸率(%),102年國中女性學生完訪樣本數(人),102年國中女性學生吸菸率(%),103年國中學生完訪樣本數(人),103年國中學生吸菸率(%),103年國中男性學生完訪樣本數(人),103年國中男性學生吸菸率(%),103年國中女性學生完訪樣本數(人),103年國中女性學生吸菸率(%),104年國中學生完訪樣本數(人),104年國中學生吸菸率(%),104年國中男性學生完訪樣本數(人),104年國中男性學生吸菸率(%),104年國中女性學生完訪樣本數(人),104年國中女性學生吸菸率(%),105年國中學生完訪樣本數(人),105年國中學生吸菸率(%),105年國中男性學生完訪樣本數(人),105年國中男性學生吸菸率(%),105年國中女性學生完訪樣本數(人),105年國中女性學生吸菸率(%)
現住地縣市別=新竹縣,766,7.545,429,9.8635,332,5.1156,801,10.3294,409,12.9778,381,6.4208,773,12.2067,388,15.712,378,8.1635,728,12.5851,361,17.1736,357,7.5542,505,12.5145,254,15.8427,243,7.2851,487,12.4611,249,16.0614,236,8.1935,634,8.1683,335,12.2505,299,3.6557,897,6.7643,432,8.0298,463,5.1787,946,5.1942,435,6.3077,511,4.0028,848,6.3351,438,9.4964,410,2.8951
現住地縣市別=苗栗縣,713,11.713,357,13.8826,348,8.99,778,10.6999,388,13.0438,370,6.4301,779,11.4095,407,15.7574,366,5.9271,748,14.1583,353,21.4728,377,5.9087,506,14.6207,275,21.2199,223,5.9578,564,8.1569,296,13.264,267,2.6495,651,4.2973,330,8.0628,321,0.2277,1074,4.6632,559,6.827,513,2.2712,993,3.0552,505,4.0104,487,2.0277,921,5.4098,469,6.8766,450,3.6207
現住地縣市別=原台中縣,1218,5.8548,639,7.8026,570,3.5785,1286,7.9216,662,11.3929,607,4.113,1206,7.8262,607,10.6787,583,4.761,1191,4.7183,605,7.0499,573,1.8566,710,5.0635,388,7.1356,322,2.8317,570,6.381,309,9.0103,260,3.1239,565,3.0806,301,4.0708,264,1.9855,891,2.7959,452,3.2683,439,2.2745,1020,2.9735,514,4.6177,506,1.1956,929,2.3876,449,2.2947,480,2.4898
現住地縣市別=彰化縣,949,5.7303,476,8.6194,461,2.7386,1032,6.4795,525,7.9223,494,4.8479,1009,7.8389,492,10.3749,496,5.1684,940,8.291,482,10.8178,440,5.0896,552,8.856,291,15.2233,259,1.9661,580,6.6382,295,9.4354,281,2.9215,558,1.6629,293,3.1839,264,0,882,1.2611,447,1.4563,434,1.0507,955,1.3952,492,2.5229,462,0.1735,922,2.5845,479,3.9595,442,1.0936
現住地縣市別=南投縣,723,6.8911,319,10.0506,389,2.8702,790,11.4474,390,14.9683,383,5.92,801,9.1029,428,11.5413,370,6.5322,822,8.1046,426,11.095,389,4.768,575,7.1884,275,7.8974,295,6.1754,504,8.4662,256,10.0464,243,6.548,708,3.6063,370,5.6496,337,1.3392,949,6.3084,493,8.0007,453,4.4347,1042,7.0342,522,10.5924,518,3.0707,767,5.3276,392,7.8807,374,2.4894
現住地縣市別=雲林縣,678,4.5782,310,6.5422,355,1.9409,797,8.5522,395,11.7773,388,4.5654,778,7.2802,392,11.6945,370,2.7438,776,9.8239,402,15.126,360,3.9961,611,5.7003,369,6.9359,240,4.3952,515,5.2957,280,7.5758,232,2.8961,500,7.6058,251,8.9496,249,6.1633,941,4.203,515,5.9885,425,2.2533,986,3.0124,631,4.7662,355,1.0881,948,6.4891,419,9.9243,528,2.825
現住地縣市別=嘉義縣,582,11.3797,295,17.5951,281,4.9411,816,8.7206,464,12.9534,344,4.052,874,4.0598,460,6.1379,402,1.7168,780,11.049,500,14.8038,271,6.6256,556,9.451,223,13.6443,329,5.0476,595,4.7033,270,5.9662,323,2.9961,682,7.4492,221,11.9856,461,2.3598,976,4.7226,544,6.8614,430,2.065,943,4.8091,564,6.8003,379,2.5789,870,3.4039,394,5.7272,474,0.7911
現住地縣市別=原台南縣,747,6.756,362,9.7476,374,3.0328,1245,5.7913,653,7.2549,585,4.0655,1019,7.235,539,11.25,465,2.937,984,7.8404,493,10.8832,481,3.846,538,7.6984,273,10.5333,262,4.2356,599,5.1524,320,7.2195,274,2.5752,540,4.5757,267,7.955,273,0.7502,897,6.6481,470,9.1877,426,3.7824,892,3.6579,454,4.1364,438,3.1274,918,3.2008,464,4.3093,454,1.9904
現住地縣市別=原高雄縣,724,8.9783,353,10.5247,364,7.1981,999,6.8564,479,9.6472,510,3.1442,968,7.9998,488,10.7036,460,4.82,918,10.2891,466,14.6667,445,5.0054,534,8.6256,269,10.2579,258,6.2409,500,7.1349,258,9.0765,237,5.1773,621,4.9243,292,5.9553,328,3.8218,980,8.1966,482,12.2254,498,3.7935,831,4.3319,411,6.3147,419,1.9996,792,3.5351,400,5.3357,392,1.5698
現住地縣市別=屏東縣,751,5.4125,381,7.4473,364,2.844,993,9.3435,483,11.5828,499,5.9975,916,11.656,465,11.934,439,11.2369,978,12.485,508,17.2633,455,6.7404,549,10.7632,275,13.6788,272,7.247,578,10.0237,299,11.6323,275,7.3319,449,7.8078,218,11.0072,231,4.2865,947,6.9433,450,10.0136,495,3.616,958,6.7809,470,8.5659,487,4.8716,801,7.374,403,10.4728,395,3.8828
現住地縣市別=台東縣,551,11.1943,264,13.0711,279,8.8842,721,12.8146,378,14.3497,332,10.6167,721,18.0543,371,21.6414,338,13.4171,760,19.0161,393,22.5532,349,15.0501,502,18.811,244,24.2636,255,12.5501,430,15.6991,212,19.8141,215,11.1485,584,11.3488,278,14.8504,305,7.7672,865,10.5826,423,12.8032,441,8.2142,848,13.4675,401,18.3024,447,8.3386,860,8.2596,449,11.0983,411,5.191
現住地縣市別=花蓮縣,711,11.1536,350,13.1206,350,8.5094,766,11.5671,368,14.6607,388,7.7944,709,11.0654,346,12.3936,359,9.3895,788,8.347,399,11.7124,382,5.0195,541,7.8882,281,11.0189,257,4.3712,530,10.7833,263,12.9557,261,7.9221,612,9.0026,297,9.6627,315,8.2958,985,8.7765,503,10.7687,479,6.6529,816,10.3834,407,11.1256,408,9.6258,942,5.1382,467,6.86,471,2.945
現住地縣市別=澎湖縣,582,5.8206,283,5.7797,286,5.7474,690,8.9436,342,13.8399,343,4.0519,685,7.1457,341,11.3236,340,2.3864,606,7.5979,319,11.4469,279,3.295,515,10.5206,269,15.1656,245,5.6829,444,7.4572,223,9.1882,219,5.2436,434,5.6122,227,6.7453,207,4.4091,489,4.8264,275,6.2109,213,3.3256,469,5.6494,253,8.6266,216,2.1619,571,6.7528,311,8.9567,259,4.2934
現住地縣市別=金門縣,361,5.0283,169,7.729,185,1.6654,559,7.3356,265,10.9438,285,1.8214,539,9.5868,268,13.02,259,6.0398,525,9.5576,277,13.1587,244,4.9978,318,8.8786,161,9.1861,155,8.6512,326,7.8118,163,10.9414,161,4.4989,370,5.9986,180,8.0723,189,3.686,596,6.0289,316,8.7606,280,3.2166,588,4.6437,286,6.4313,301,2.7231,484,3.1769,259,5.2841,223,0.4743
現住地縣市別=連江縣,302,1.3297,171,2.2794,131,0,266,4.4578,131,6.7437,134,1.4795,284,6.1533,128,8.6786,153,3.4888,291,5.7563,137,7.8668,152,3.9838,264,3.6415,133,4.7012,131,2.6586,261,4.3455,134,7.44,124,0,261,1.2328,141,1.7141,120,0.6985,270,2.3927,145,4.3068,125,0,232,0.8428,127,0.6373,104,1.0869,250,1.9717,126,2.3707,123,1.5774
現住地縣市別=台中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1353,5.141,705,7.9287,646,2.1713,1093,5.419,581,7.6735,511,2.8029,1152,2.1812,600,3.2577,552,1.0248,1842,2.0623,962,2.4383,878,1.5318,1870,1.9028,893,2.843,977,0.9038,1923,2.0435,982,2.2182,937,1.8642
現住地縣市別=台南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1033,7.6181,493,11.3105,533,3.3511,1136,4.7422,618,7.0485,506,2.1554,1082,3.7017,559,6.2066,522,0.7923,1737,5.2839,867,7.1016,869,3.2958,1790,3.5583,957,4.3179,833,2.7392,1754,2.9814,884,4.1286,868,1.7574
現住地縣市別=高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1077,7.7505,542,9.3649,520,5.2279,1099,5.5357,557,7.4467,533,3.6004,1138,5.1376,544,6.6003,593,3.5885,1943,6.275,975,9.2456,966,3.0629,1753,3.6383,869,5.0054,881,2.0656,1634,2.5932,845,3.9426,789,1.12
